Depth,ROP(1 ft),WOB (k-lbs),Temp Out( degF),Temp In(degF),Pit Total (bbls),Pump Press (psi),ROP(1 min),Hookload (k-lbs),Surface Torque (psi),Rotary Speed (rpm),Flow In (gpm),Flow Out %,WH Pressure (psi),H2S Floor,H2S Cellar,H2S Pits
85.18,56.8,0,93.49,90.87,274.83,463.72,28.7,31.77,8.93,151.09,1109.58,101.61,-1230.69,-0.01,-0.03,0.31
86.18,61.14,0,93.52,90.83,274.83,459.53,70.44,31.01,8.93,151.09,1108.36,101.7,-1230.69,-0.01,-0.04,0.31
87.23,18.58,0,94.25,90.91,273.8,454.57,23.9,31.01,9.01,61.54,1102.87,96.81,-1230.69,-0.01,-0.03,0.3
88.26,38.29,0,94.44,91.14,273.79,451.14,35.66,31.16,8.97,60.23,1101.04,96.67,-1230.69,0,-0.03,0.31
89.36,394.38,0,94.48,91.18,273.8,456.09,69.95,31.54,8.97,61.75,1102.46,96.63,-1230.69,-0.02,-0.02,0.31
90.39,413.16,0,94.52,91.18,273.79,452.28,99.67,30.24,8.97,61.99,1101.85,96.58,-1230.69,-0.01,-0.02,0.31
91.39,450.72,0.76,94.52,91.21,273.8,454.19,127.04,29.33,8.97,62.07,1102.06,96.72,-1230.69,-0.01,-0.02,0.31
92.39,600.96,0,94.52,91.21,273.79,452.66,154.97,31.01,9.01,61.95,1102.26,96.81,-1230.69,-0.02,-0.03,0.31
93.49,399.5,0,94.55,91.25,273.8,448.85,178.32,30.93,8.97,61.42,1099.21,96.44,-1230.69,-0.01,-0.03,0.3
94.59,563.4,0,94.55,91.29,273.79,452.66,204.71,30.78,9.01,59.57,1102.87,95.93,-1230.69,-0.02,-0.03,0.3
95.65,638.52,0,94.55,91.29,273.79,452.28,230.18,31.08,9.01,59.33,1103.48,95.74,-1230.69,-0.01,-0.03,0.3
96.68,743.69,0,94.55,91.29,273.79,448.47,255.4,31.46,8.97,58.67,1100.43,95.53,-1230.69,-0.01,-0.02,0.31
97.75,348.28,2.13,94.55,91.37,273.79,452.28,265.22,27.96,8.97,56.05,1103.28,96.07,-1230.69,-0.01,-0.03,0.31
99.5,100,0,90.89,93.24,279.64,19.94,0,40.61,8.74,0,0,25.11,-1231.45,0,0,0.32
101.35,147.35,0,90.89,93.27,278.58,139.28,65.3,37.95,8.74,0,469.14,38.44,-1231.45,0,-0.01,0.31
102.51,54.86,0,90.78,93.16,275.49,383.66,81.64,37.56,8.82,53.92,1068.03,81.34,-1231.45,0,-0.02,0.3
103.51,180.29,0,90.78,93.16,275.44,385.18,102.7,35.81,8.82,0,1068.02,83.65,-1231.45,-0.01,-0.03,0.31
104.57,106.42,0,90.67,93.16,275.42,384.8,103.83,36.12,8.78,0,1065.78,83.32,-1231.45,-0.01,-0.02,0.31
105.67,147.35,0,86.81,93.04,275.81,386.33,44.85,36.19,8.82,61.38,1062.73,80.92,-1231.07,-0.01,-0.03,0.31
106.76,492.98,0,86.93,93.08,275.81,384.8,78.52,36.8,8.82,61.42,1066.8,82.6,-1231.07,-0.01,-0.03,0.31
107.92,694.86,0,86.89,93.04,275.99,387.47,112.62,36.27,8.82,69.53,1067.21,82.83,-1231.07,-0.01,-0.02,0.3
109.11,611.7,0,86.62,93.08,275.86,387.09,146.77,36.95,8.82,75.19,1063.95,80.15,-1231.07,-0.01,-0.02,0.3
110.27,833.83,0,86.47,93.08,275.84,384.42,176.27,35.43,8.82,82.32,1066.39,80.15,-1231.07,-0.01,-0.02,0.31
111.33,766.22,0,86.4,93.08,275.61,384.04,213.2,35.89,8.82,85.11,1064.77,79.8,-1231.07,-0.01,-0.03,0.3
112.37,694.86,0,86.24,93.08,275.62,389.76,236.21,35.51,8.78,88.43,1067.21,78.12,-1231.07,-0.01,-0.02,0.31
113.37,515.1,0,85.94,93.08,275.81,388.23,258.34,31.92,8.82,82.28,1067.61,78.64,-1231.45,-0.01,-0.02,0.31
114.5,368.77,2.82,85.86,93.08,275.81,386.33,268.49,27.27,8.82,97.45,1066.39,79.22,-1231.07,-0.01,-0.02,0.31
115.53,247.9,0,85.25,93.08,275.82,387.47,270.41,34.36,8.82,99.25,1069.44,80.17,-1231.45,-0.01,-0.02,0.31
116.56,492.97,0,84.91,93.08,275.81,385.56,286.39,33.22,8.82,92.49,1069.65,80.17,-1231.45,-0.01,-0.02,0.31
117.63,348.28,0.61,84.76,93.12,275.81,390.9,292.07,29.48,8.82,89.82,1073.92,79.64,-1231.07,-0.01,-0.02,0.3
